GridID,X_Lon,Y_Lat,M8H_O3
968,107.45,22.05,82.0
969,107.55,22.05,83.0
970,107.65,22.05,81.0
971,107.75,22.05,83.0
972,107.85,22.05,85.0
973,107.95,22.05,86.0
974,108.05,22.05,86.0
975,108.15,22.05,87.0
976,108.25,22.05,89.0
977,108.35,22.05,90.0
978,108.45,22.05,90.0
979,108.55,22.05,92.0
980,108.65,22.05,91.0
981,108.75,22.05,90.0
982,108.85,22.05,90.0
983,108.95,22.05,90.0
984,109.05,22.05,88.0
985,109.15,22.05,88.0
986,109.25,22.05,88.0
987,109.35,22.05,89.0
988,109.45,22.05,89.0
989,109.55,22.05,88.0
990,109.65,22.05,87.0
991,109.75,22.05,86.0
992,109.85,22.05,86.0
993,109.95,22.05,86.0
994,110.05,22.05,87.0
995,110.15,22.05,87.0
996,110.25,22.05,86.0
997,110.35,22.05,86.0
998,110.45,22.05,86.0
999,110.55,22.05,84.0
1000,110.65,22.05,84.0
1001,110.75,22.05,84.0
1002,110.85,22.05,83.0
1003,110.95,22.05,82.0
1004,111.05,22.05,82.0
1005,111.15,22.05,81.0
1006,111.25,22.05,81.0
1007,111.35,22.05,81.0
1008,111.45,22.05,83.0
1009,111.55,22.05,83.0
1010,111.65,22.05,84.0
1011,111.75,22.05,85.0
1012,111.85,22.05,84.0
1013,111.95,22.05,83.0
1014,112.05,22.05,80.0
1015,112.15,22.05,75.0
1016,112.25,22.05,74.0
1017,112.35,22.05,74.0
1018,112.45,22.05,74.0
1019,112.55,22.05,74.0
1020,112.65,22.05,75.0
1021,112.75,22.05,74.0
1022,112.85,22.05,74.0
1023,112.95,22.05,71.0
1024,113.05,22.05,73.0
1025,113.15,22.05,71.0
1026,113.25,22.05,68.0
1027,113.35,22.05,68.0
1028,113.45,22.05,65.0
1030,120.75,22.05,68.0
1031,120.85,22.05,73.0
1034,99.25,22.15,97.0
1035,99.35,22.15,96.0
1036,99.45,22.15,95.0
1037,99.55,22.15,96.0
1038,99.65,22.15,97.0
1039,99.75,22.15,96.0
1040,99.85,22.15,93.0
1041,99.95,22.15,94.0
1042,100.05,22.15,92.0
1043,100.15,22.15,87.0
1044,100.25,22.15,85.0
1045,100.35,22.15,87.0
1046,100.45,22.15,81.0
1047,100.55,22.15,80.0
1048,100.65,22.15,77.0
1049,100.75,22.15,75.0
1050,100.85,22.15,75.0
1051,100.95,22.15,71.0
1052,101.05,22.15,67.0
1053,101.15,22.15,65.0
1054,101.25,22.15,64.0
1055,101.35,22.15,61.0
1056,101.45,22.15,62.0
1057,101.55,22.15,61.0
1062,106.75,22.15,83.0
1063,106.85,22.15,83.0
1064,106.95,22.15,83.0
1065,107.05,22.15,85.0
1066,107.15,22.15,84.0
1067,107.25,22.15,83.0
1068,107.35,22.15,83.0
1069,107.45,22.15,84.0
1070,107.55,22.15,82.0
1071,107.65,22.15,83.0
1072,107.75,22.15,85.0
1073,107.85,22.15,86.0
1074,107.95,22.15,88.0
1075,108.05,22.15,87.0
1076,108.15,22.15,88.0
1077,108.25,22.15,88.0
1078,108.35,22.15,90.0
1079,108.45,22.15,91.0
1080,108.55,22.15,91.0
1081,108.65,22.15,91.0
1082,108.75,22.15,90.0
1083,108.85,22.15,89.0
1084,108.95,22.15,89.0
1085,109.05,22.15,89.0
1086,109.15,22.15,88.0
1087,109.25,22.15,89.0
1088,109.35,22.15,89.0
1089,109.45,22.15,89.0
1090,109.55,22.15,88.0
1091,109.65,22.15,86.0
1092,109.75,22.15,87.0
1093,109.85,22.15,87.0
1094,109.95,22.15,87.0
1095,110.05,22.15,87.0
1096,110.15,22.15,89.0
1097,110.25,22.15,89.0
1098,110.35,22.15,87.0
1099,110.45,22.15,86.0
1100,110.55,22.15,87.0
1101,110.65,22.15,85.0
1102,110.75,22.15,84.0
1103,110.85,22.15,83.0
1104,110.95,22.15,83.0
1105,111.05,22.15,82.0
1106,111.15,22.15,82.0
1107,111.25,22.15,82.0
1108,111.35,22.15,83.0
1109,111.45,22.15,84.0
1110,111.55,22.15,85.0
1111,111.65,22.15,86.0
1112,111.75,22.15,86.0
1113,111.85,22.15,85.0
1114,111.95,22.15,78.0
1115,112.05,22.15,77.0
1116,112.15,22.15,74.0
1117,112.25,22.15,73.0
1118,112.35,22.15,73.0
1119,112.45,22.15,74.0
1120,112.55,22.15,75.0
1121,112.65,22.15,71.0
1122,112.75,22.15,72.0
1123,112.85,22.15,74.0
1124,112.95,22.15,71.0
1125,113.05,22.15,70.0
1126,113.15,22.15,68.0
1127,113.25,22.15,68.0
1128,113.35,22.15,69.0
1129,113.45,22.15,63.0
1130,113.55,22.15,58.0
1132,120.75,22.15,71.0
1133,120.85,22.15,75.0
1136,99.25,22.25,99.0
1137,99.35,22.25,99.0
